autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
Engels Friedrich,L'evoluzione del socialismo dall'utopia alla scienza (2 copie),Politica,Editori Riuniti,1971,A5,,,,si
Forster Georg,Rivoluzione borghese ed emancipazione umana,Politica,Editori Riuniti,1974,A5,,,,si
Goldstucker Eduard,Libertà e socialismo,Politica,Editori Riuniti,1968,A5,,,,si
Kardelj Edvard,Burocrazia e classe operaia,Politica,Editori Riuniti,1969,A5,,,,si
Kosik Karel,La nostra crisi attualw,Politica,Editori Riuniti,1969,A5,,,,si
Longo Luigi,Sui fatti di Cecoslovacchia,Politica,Editori Riuniti,1968,A5,,,,si
Marx Karl,Salario prezzo e profitto (2 copie),Politica,Editori Riuniti,1971,A5,,,,si
Marx Karl,Forme economiche precapitalistiche,Politica,Editori Riuniti,1972,A5,,,,si
Marx Karl,La guerra civile in Francia,Politica,Editori Riuniti,1974,A5,,,,si
Merlin Tina,Avanguardia di classe e politica delle alleanze,Politica,Editori Riuniti,1969,A5,,,,si
Richta Radovan,Rivoluzione scientifica e socialismo,Politica,Editori Riuniti,1969,A5,,,,si
Theodorakis Mikis,Conquistare la libertà,Politica,Editori Riuniti,1968,A5,,,,si
Togliatti Palmiro,La politica culturale,Politica,Editori Riuniti,1974,A5,,,,si
AA. VV.,La patria non vuole più orfani,Politica,Nuove Edizioni Internazionali,1984,B1,,,,si
AA. VV.,La storia la memoria,Politica,Atti convegno,1987,B1,,,,si
AA. VV.,Mini guida al consumo critico e al boicottaggio,Politica,La Tortuga,2005,B1,,,,si
Bertorello Corradi,Capitalismo tossico,Politica,Alegre,2011,B1,,,,si
Caccavale Michele,Il grande inganno,Politica,Kaos ,1997,B1,,,,si
Colletti Lucio,Crisi delle ideologie,Politica,Club degli Editori,1980,B1,,,,si
Deakin F.W.D.,(2 copie),Politica,Club degli Editori,1972,B1,,,,si
Dinelli-Bernardini,I laboratori toscani della democrazia e del Risorgimento,Politica,ETS,2003,B1,,,,si
Fiori Giuseppe,Vita di Enrico Berlinguer,Politica,L'Unità/Laterza,1989,B1,,,,si
Galloni Nino,Il grande mutuo,Politica,Editori Riuniti,2007,B1,,,,si
Marx-Engels,Manifesto del partito comunista,Politica,Liberazione ,1998,B1,,,,si
Romano Sergio,Guida alla politica estera italiana,Politica,Rizzoli,1993,B1,,,,si
Santarelli Enzo,Fascismo e neofascismo,Politica,Enti Locali,1972,B1,,,,si
Scheda Rinaldo,il sindacato che cambia,Politica,Sindacale Italiana,1979,B1,,,,si
Stalin I.V.,Questioni del leninismo I-II,Politica,L'Unità,1945,B1,,,,si
Stalin I.V.,Principi del leninismo,Politica,Samonà e Savelli,1970,B1,,,,si
Togliatti Palmiro,Suk movimento operaio internazionale,Politica,Editori Riuniti,1964,B1,,,,si
Togliatti Palmiro,Momenti della storia d'Italia,Politica,Editori Riuniti,1974,B1,,,,si
Togliatti Palmiro,Gramsci e il leninismo,Politica,Robin Edizioni,2000,B1,,,,si
AA. VV.,La questione sociale,Politica,Sansoni,1971,B2,,,,si
AA. VV.,Sierocoinvoltə,Politica,ERIS,2023,B2,,,,si
Bernardini Albino,Un anno a Pietralata,Politica,Nuova Italia,1973,B2,,,,si
Bertorello Marco,Non c'è euro che tenga,Politica,Alegre,2014,B2,,,,si
Boffa Giuseppe,Dopo Krusciov,Politica,Einaudi,1965,B2,,,,si
Bologna Sergio,Tempesta perfetta sui mari,Politica,Derive Approdi,2017,B2,,,,si
De Rosa Gabriele,La crisi dell'ONU,Politica,Cultura Sociale,1951,B2,,,,si
Dickie John,Onorate società,Politica,Mondadori,2012,B2,,,,si
Guevara Ernesto,Sulla Sierra con Fidel,Politica,Editori Riuniti,1965,B2,,,,si
Guevara Ernesto,Il marxismo vivente del Che,Politica,Nuove Edizioni Internazionali,1995,B2,,,,si
Hassel Sven,General,Politica,Rizzoli,1983,B2,,,,si
Hill Christopher,Lenin e la rivoluzione russa ,Politica,Einaudi,1965,B2,,,,si
Huberman Sweezy,Il socialismo a Cuba,Politica,Dedalo Libri,1971,B2,,,,si
Millet Toussaint,Debitocrazia,Politica,Alegre,2011,B2,,,,si
Pap Kan,Nelson Mandela una luce per tutti,Politica,Cose d'Africa,2017,B2,,,,si
Rinaldi Sobrero,La memoria che resta,Politica,Aramirè,2004,B2,,,,si
Sivak Martin,Evo Morales Ritratto intimo di un presidente,Politica,Alegre,2012,B2,,,,si
Sole Giovanni,Questa grande umanità,Politica,Newton,1997,B2,,,,si
Guevara Ernesto,I giovani,Politica ,Baldini&Castoldi,1997,B2,,,,si
Badaloni Nicola,Dialettica del capitale,Politica,Editori Riuniti,1980,B3,,,,si
Bertoni Jovine Dina,La scuola italiana dal 1870 ai giorni nostri,Politica,Editori Riuniti,1967,B3,,,,si
Bini-Del Cornò-Giannantoni,L'autoritarismo nella scuola,Politica,Editori Riuniti,1969,B3,,,,si
Colombi Arturo,Vita di militante,Politica,Editori Riuniti,1975,B3,,,,si
Lepre Levrero,La formazione del partito comunista d'Italia,Politica,Editori Riuniti,1971,B3,,,,si
Manacorda Mario,Marx e la pedagogia moderna,Politica,Editori Riuniti,1966,B3,,,,si
Maugeri Leonardo,L'era del petrolio,Politica,Feltrinelli,2006,B3,,,,si
Pesenti Antonio,Manuale di economia politica  I-II (due copie),Politica,Editori Riuniti,1972,B3,,,,si
Schaff Adam,L'alienazione come fenomeno sociale,Politica,Editori Riuniti,1979,B3,,,,si
Schlesinger Rudolf,La teoria del diritto nell'Unione Sovietica,Politica,Einaudi,1952,B3,,,,si
AA. VV.,La burocrazia,Politica,Samonà e Savelli,1969,B4,,,,si
AA. VV.,Il partito rivoluzionario: un problema aperto,Politica,Samonà e Savelli,1969,B4,,,,si
AA. VV.,I consigli operai,Politica,Samonà e Savelli,1972,B4,,,,si
AA. VV.,Con Marx alle porte - I 37 giorni della FIAT,Politica,Nuove Edizioni Internazionali,1980,B4,,,,si
AA. VV.,Gorbaciov e la crisi del socialismo reale,Politica,Nuove Edizioni Internazionali,1988,B4,,,,si
AA. VV.,Onda anomala,Politica,Alegre,2008,B4,,,,si
Avrich Paul,Kronstadt 1921,Politica,Mondadori,1971,B4,,,,si
Bucharin N.I.,L'economia mondiale e l'imperialismo,Politica,Samonà e Savelli,1966,B4,,,,si
Chamberlin W.H.,Storia della rivoluzione russa I- II-III,Politica,il Saggiatore,1967,B4,,,,si
Fischer Louis,Vita di Lenin I-II,Politica,Il Saggiatore,1967,B4,,,,si
Lenin,Che fare?,Politica,Editori Riuniti,1974,B4,,,,si
Lenin,La Comune di Parigi,Politica,Editori Riuniti,1974,B4,,,,si
Maitan Livio - Di Giuliomaria Sirio,La costruzione del partito rivoluzionario,Politica,Nuove Edizioni Internazionali,1967,B4,,,,si
Moscato Antonio,Il filo spezzato,Politica,Adriatica,1996,B4,,,,si
Pajetta Giuliano,Douce France - Diario 1941/1942,Politica,Salemi,1988,B4,,,,si
Pajetta Giuliano,Le crisi che ho vissuto,Politica,Editori Riuniti,1982,B4,,,,si
Bakunin Michail,Rivolta e libertà,Politica,Editori Riuniti,1971,B5,,,,si
Marx Karl,Lineamenti fondamentali della critica dell'economia politica,Politica,La Nuova Italia,1970,B5,,,,si
Marx Karl,Il capitale,Politica,Editori Riuniti,1974,B5,,,,si
Marx Karl,Lavolro salariato e capitale,Politica,Editori Riuniti,1971,B5,,,,si
Marx-Engels,Opere scelte,Politica,Editori Riuniti,1966,B5,,,,si
Vo Nguyen Gap,Guerra di popolo,Politica,Editori Riuniti,1968,B5,,,,si
AA. VV.,Perché l' ecosocialismo,Politica,Sinistra anticapit.,?,C1,,,,si
Blumer Giovanni,La rivoluzione culturale cinese,Politica,Feltrinelli,1969,C1,,,,si
Cannavò Salvatore,Mutualismo. Ritorno al futuro per la sinistra,Politica,Alegre,2018,C1,,,,si
Guillermaz Jacques,Storia del partito comunista cinese,Politica,Feltrinelli,1970,C1,,,,si
Hicks John,Capitale e sviluppo,Politica,il Saggiatore,1971,C1,,,,si
Landini Feliziani,Cambiare la fabbrica per cambiare il mondo,Politica,Bompiani,2011,C1,,,,si
Mao Tse-Dun,Scritti scelti Voll- 1-5,Politica,Edizioni Rinascita,1964,C1,,,,si
Rostagno-Gentile,Il suono di una sola mano,Politica,il Saggiatore,2011,C1,,,,si
Snow Edgar,Stella rossa sulla Cina,Politica,Einaudi,1965,C1,,,,si
Bollati Giulio,L'italiano,Politica,Einaudi,1983,C2,,,,si
Colombi Arturo,Nelle mani del nemico,Politica,Rinascita,1950,C2,,,,si
De Masi Domenico,Lavorare gratis lavorare tutti,Politica,Rizzoli,2017,C2,,,,si
Fassino Piero,Per passione,Politica,Rizzoli,2003,C2,,,,si
Govoni Nicolò,Attraverso i nostri occhi,Politica,Rizzoli,2020,C2,,,,si
McLellan David,Karl Marx. La sua vita e il suo pensiero,Politica,Rizzoli,1976,C2,,,,si
Reinhart Tanya,Distruggere la Palestina,Politica,il Saggiatore,2004,C2,,,,si
Salama-Valier,Che cosa è l'economia politica,Politica,Jaca Book,1976,C2,,,,si
Togliatti Palmiro,La via italiana al socialismo (2 copie),Politica,Editori Riuniti,1964,C2,,,,si
Togliatti Palmiro,Il partito comunista italiano,Politica,Editori Riuniti,1961,C2,,,,si
Togliatti Palmiro,Da Radio Milano Libertà,Politica,Rinascita,1974,C2,,,,si
Tondi Alighiero,Vaticano e neofascismo,Politica,Cultura Sociale,1952,C2,,,,si
Trivelli Renzo,L'impegno e la memoria,Politica,Rubbettino,2001,C2,,,,si
Tumiati Gaetano,Buongiorno Cina,Politica,Avanti!,1954,C2,,,,si
Uboldi Raffaello,Il cittadino Sandro Pertini,Politica,Rizzoli,1982,C2,,,,si
Badaloni Nicola,Il problema dell'immanenza nella filosofia politica di Antonio Gramsci,Politica,Arsenale,1988,C3,,,,si
Bigi Giulio,I fatti del 7 luglio (Reggio Emilia 1960),Politica,Rinascita,?,C3,,,,si
Cerroni Umberto,Il pensiero politico dalle origini ai nostri giorni,Politica,Editori Riuniti,1966,C3,,,,si
Gilbert Felix,Machiavelli e Guicciardini,Politica,Einaudi,1970,C3,,,,si
Gramsci Antonio,Il materialismo storico e la filosofia di Benedetto Croce,Politica,Einaudi,1972,C3,,,,si
Gramsci Antonio,Scritti politici,Politica,Editori Riuniti,1973,C3,,,,si
Lombardo Radice L. Carbone G.,Vita di Antonio Gramsci,Politica,Cultura Sociale,1952,C3,,,,si
Machiavelli Niccolò,Opere scelte,Politica,Editori Riuniti,1973,C3,,,,si
Maitan Livio,Il marxismo rivoluzionario di Antonio Gramsci,Politica,Nuove Edizioni Internazionali,1997,C3,,,,si
Parodi Lorenzo,Critica del sindacato riformista,Politica,Lotta comunista,1987,C3,,,,si
Reale Mario,Le ragioni della politica,Politica,Edizioni Ateneo,1983,C3,,,,si
Rossi Giampiero,La lana della salamandra,Politica,Ediesse,2008,C3,,,,si
Sabado-Le Moal,L'ascesa del nazismo,Politica,opuscolo,?,C3,,,,si
Gramsci Antonio,Opere Voll. 1-7,Politica,Einaudi,1955,C4,,,,si
Lenin,Opere (12 volumi),Politica,Editori Riuniti,1951,C4,,,,si
Marx Karl,Il Capitale I e III (7 volumi),Politica,Peruzzo,1980,C5,,,,si
Minguzzi Luciano,200 anni di storia rivoluzionaria,Politica,Peruzzo,1980,C5,,,,si
AA. VV.,"Critica marxista VI,2",Politica,rivista,1968,D1,,,,si
AA. VV.,"Critica marxista X,6",Politica,rivista,1972,D1,,,,si
AA. VV.,Trattato marxista di economia politica II,Politica,Editori Riuniti,1973,D1,,,,si
Badaloni Nicola,Il marxismo italiano degli anni Sessanta,Politica,Editori Riuniti,1971,D1,,,,si
Bronzo A.,La vittoria dell'apparato,Politica,Ottaviano,1977,D1,,,,si
De Magistris Luigi,Assalto al PM,Politica,Chiarelettere,2010,D1,,,,si
Dobb Maurice,Teoria economica e socialismo (due copie),Politica,Editori Riuniti,1974,D1,,,,si
Ferrara Maurizio,Mal di Russia,Politica,Leonardo,1965,D1,,,,si
Fracassi Franco,Biolab,Politica,Fracassi,2022,D1,,,,si
Gilas Milovan,Compagno Tito,Politica,Mondadori,1980,D1,,,,si
Ginzburg Carlo,Il giudice e lo storico,Politica,Einaudi,1991,D1,,,,si
Hirschmann Albert,Le passioni e gli interessi,Politica,Feltrinelli,1979,D1,,,,si
Molinelli Edoardo,Euzkadi,Politica,Hellnation,2017,D1,,,,si
Rousseau Jean-Jacques,Il contratto sociale,Politica,Einaudi,1966,D1,,,,si
Smith Adam,La ricchezza delle nazioni,Politica,Editori Riuniti,1971,D1,,,,si
AA. VV.,XXIII Congresso del PCUS,Politica,Editori Riuniti,1966,D2,,,,si
AA. VV.,II congresso della Internazionale comunista,Politica,Samonà e Savelli,1970,D2,,,,si
AA. VV.,III congresso della Internazionale comunista,Politica,Samonà e Savelli,1970,D2,,,,si
AA. VV.,IV congresso della Internazionale comunista,Politica,Samonà e Savelli,1971,D2,,,,si
AA. VV.,Israele senza confini,Politica,Sapere 2000,1984,D2,,,,si
Achcar Gilbert,L'Oriente incandescente,Politica,Shahrazad,?,D2,,,,si
Branca-Cuciniello,Destini incrociati. Europa e Islam,Politica,Fondazione Boroli,2006,D2,,,,si
Degras Jane,Storia dell'Internazionale comunista,Politica,Feltrinelli,1975,D2,,,,si
Foa Vittorio,Passaggi,Politica,Einaudi,2000,D2,,,,si
Gabeira Fernando,Che ti succede compagno?,Politica,Feltrinelli,1981,D2,,,,si
Giachetti Diego,I dilemmi di Trotsky,Politica,Redstar,2017,D2,,,,si
Maitan Livio,Per una storia della IV Internazionale,Politica,Alegre,2006,D2,,,,si
Napolitano-Scalfari,Intervista al Presidente,Politica,Repubblica,2013,D2,,,,si
Ragionieri Ernesto,Il marxismo e l'Internazionale,Politica,Editori Riuniti,1968,D2,,,,si
Saviano Roberto,L'Italia salvata dall'economia criminale?,Politica,Repubblica,2013,D2,,,,si
Togliatti Palmiro,XX Congresso del PCUS,Politica,Editori Riuniti,1956,D2,,,,si
Traverso Enzo,La loro morale e la nostra. Il profeta muto: Trotskij oggi,Politica,Nuove Edizioni Internazionali,1995,D2,,,,si
Trotskij Lev,Il programma di transizione,Politica,Nuove Edizioni Internazionali,1995,D2,,,,si
Vercelli Claudio,Storia del conflitto israelo-palestinese,Politica,Laterza,2010,D2,,,,si
Gramsci Antonio,La formazione dell'uomo,Politica,Editori Riuniti,1967,D3,,,,si
Gramsci Antonio,Passato e presente,Politica,Editori Riuniti,1974,D3,,,,si
Gramsci Antonio,Il Risorgimento,Politica,Editori Riuniti,1971,D3,,,,si
Gramsci Antonio,Note sul Machiavelli,Politica,Editori Riuniti,1974,D3,,,,si
Gramsci Antonio,Il materialismo storico ,Politica,Editori Riuniti,1971,D3,,,,si
Gramsci Antonio,Scritti politici (2 volumi),Politica,Editori Riuniti,1973,D3,,,,si
Gramsci Antonio,Letteratura e vita nazionale,Politica,Editori Riuniti,1971,D3,,,,si
Gramsci Antonio,Antologia popolare degli scritti e delle lettere,Politica,Editori Riuniti,1957,D3,,,,si
Gramsci Antonio,Lettere dal carcere 2,Politica,l'Unità,1988,D3,,,,si
Paggi Leonardo,Antonio Gramsci e il moderno principe,Politica,Editori Riuniti,1970,D3,,,,si
AA. VV.,I bolscevichi e la rivoluzione d'ottobre,Politica,Editori Riuniti,1962,D4,,,,si
Carr Edward,La rivoluzione bolscevica,Politica,Einaudi,1964,D4,,,,si
Gramsci Antonio,Passato e presente,Politica,Einaudi,1954,D4,,,,si
Gramsci Antonio,Il Risorgimento (2 copie),Politica,Einaudi,1954,D4,,,,si
Gramsci Antonio,Note sul Machiavelli (2 copie),Politica,Einaudi,1955,D4,,,,si
Gramsci Antonio,Letteratura e vita nazionale,Politica,Einaudi,1954,D4,,,,si
Gramsci Antonio,Gli intellettuali,Politica,Einaudi,1955,D4,,,,si
Gramsci Antonio,Scritti giovanili 1914-1918,Politica,Einaudi,1958,D4,,,,si
Gramsci Antonio,L'ordine nuovo 1919-1920,Politica,Einaudi,1955,D4,,,,si
Barth Hans ,Verità e ideologia,Politica,Il Mulino,1971,D5,,,,si
Kautsky Karl,Il programma di Erfurt,Politica,Samonà e Savelli,1971,D5,,,,si
Labriola Antonio,Saggi sul materialismo storico,Politica,Editori Riuniti,1964,D5,,,,si
Mannheim Karl,Ideologia e utopia,Politica,Il Mulino,1972,D5,,,,si
Marcuse Herbert,Ragione e rivoluzione,Politica,Il Mulino,1966,D5,,,,si
Mongardini Carlo,Ideologia e società,Politica,Bulzoni,1969,D5,,,,si
Mosca Gaetano,La classe politica,Politica,Laterza,1972,D5,,,,si
Suchanov Nikolaj,Cronache della rivoluzione russa I-II,Politica,Editori Riuniti,1967,D5,,,,si
AA. VV.,Nucleare? No grazie,Politica,Amici della Terra,1979,E1,,,,si
AA. VV.,La famiglia nella storia,Politica,Einaudi,1979,E1,,,,si
AA. VV.,Lezioni di sociologia,Politica,Einaudi,1966,E1,,,,si
Althusser Louis,Montesquieu,Politica,Samonà e Savelli,1969,E1,,,,si
De Giovanni Biagio,La teoria politica delle classi nel Capitale,Politica,De Donato,1976,E1,,,,si
Durkheim Emilio,Le regole del metodo sociologico,Politica,Sansoni,1964,E1,,,,si
Fiorot Dino,Il realismo politico di Vilfredo Pareto,Politica,Comunità,1969,E1,,,,si
Freund Julien,Sociologia di Max Weber,Politica,il Saggiatore,1972,E1,,,,si
Goffman Erving,La vita quotidiana come rappresentazione,Politica,Il Mulino,1969,E1,,,,si
Hawthorn Geoffrey,Storia della sociologia,Politica,Il Mulino,1980,E1,,,,si
Marcos,La quarta guerra mondiale è cominciata,Politica,Il manifesto,?,E1,,,,si
Perrin Guy,La sociologia di Pareto,Politica,Il Saggiatore,1971,E1,,,,si
Roll Eric,Storia del pensiero economico,Politica,Boringhieri,1977,E1,,,,si
Scala-Francione,Delinquenza giovanile,Politica,Edizioni Gee,1992,E1,,,,si
Smith Adam,Morale dei sentimenti e ricchezza delle nazioni,Politica,Guida,1974,E1,,,,si
Terray Emmanuel,Il marxismo e le società primitive,Politica,Samonà e Savelli,1969,E1,,,,si
Valier Jacques,La teoria dell'imperialismo in Lenin e Rosa Luxemburg,Politica,Samonà e Savelli,1972,E1,,,,si
AA. VV.,Fascismo vecchio e nuovo,Politica,opuscolo,1993,E2,,,,si
AA. VV.,Stop Vietnam,Politica,ACPOL,1970,E2,,,,si
AA. VV.,Utopia and distopia,Politica,Ferraro,1983,E2,,,,si
Bucharin N.I.,Critica dell'economia politica,Politica,Samonà e Savelli,1970,E2,,,,si
Cannavò Salvatore,La rifondazione mancata,Politica,Alegre,2009,E2,,,,si
Chomsky Noam,Egemonia o sopravvivenza,Politica,il Saggiatore,2005,E2,,,,si
Chomsky Noam,Sulla nostra pelle,Politica,Tropea,1999,E2,,,,si
Croce Benedetto,Materialismo storico ed economia marxistica,Politica,Laterza,1973,E2,,,,si
Giachetti Diego,Il '68 in Italia,Politica,BS edizioni,2018,E2,,,,si
Leon Abram,Il marxismo e la questione ebraica,Politica,Samonà e Savelli,1968,E2,,,,si
Moscato Antonio,Sinistra e potere,Politica,Sapere 2000,1983,E2,,,,si
Pajetta Giuliano,La Russia rivoluzionaria,Politica,Salemi,1988,E2,,,,si
Rjazanov D.B. ,Marx ed Engels,Politica,Samonà e Savelli,1969,E2,,,,si
Sereni Emilio,Capitalismo e mercato nazionale in Italia,Politica,Editori Riuniti,1966,E2,,,,si
Serge Victor,L'anno primo della rivoluzione russa,Politica,Einaudi,1967,E2,,,,si
Simeone Nando,Gli studenti della Pantera,Politica,Alegre,2010,E2,,,,si
Simeone Nando,1968 La rivolta necessaria,Politica,Redstar,2018,E2,,,,si
Teodori Massimo,Storia delle nuove sinistre in Europa (1956-1976),Politica,Il Mulino,1976,E2,,,,si
AA. VV.,Storia delle rivoluzioni del XX secolo,Politica,Editori Riuniti,1966,E3,,,,si
Benedikter Thomas,Democrazia diretta. Più potere ai cittadini,Politica,Sonda,2008,E3,,,,si
Giachetti-Ranghino,Il resistente,Politica,Alegre,2012,E3,,,,si
Herr Michael,Dispacci. L'orrore del Vietnam,Politica,Rizzoli,2016,E3,,,,si
Locke John,Trattato sul governo,Politica,Editori Riuniti,1980,E3,,,,si
Manacorda Mario,Perché non possiamo non dirci comunisti,Politica,Editori Riuniti,1997,E3,,,,si
Montanari Tomaso,Cassandra muta,Politica,GruppoAbele,2017,E3,,,,si
Ravera Camilla,Diario di trent'anni 1913-1943,Politica,Editori Riuniti,1973,E3,,,,si
Weber Max,L'etica protestante e lo spirito del capitalismo,Politica,Sansoni,1965,E3,,,,si
AA. VV.,La coscienza di sfruttata,Politica,Mazzotta,1972,F1,,,,si
AA. VV.,Diritti del sesso e matrimonio,Politica,Mondadori,1968,F1,,,,si
AA. VV.,Codice donna,Politica,Poligrafico stato,1985,F1,,,,si
Fana Marta,"Non è lavoro, è sfruttamento",Politica,Laterza,2017,F1,,,,si
Klein Naomi,No Logo,Politica,Baldini&Castoldi,2002,F1,,,,si
Mitchell Juliet,La condizione della donna,Politica,Einaudi,1972,F1,,,,si
Pankratova A. M.,I consigli di fabbrica nella Russia del 1917,Politica,Samonà e Savelli,1970,F1,,,,si
AA. VV.,Impegno delle associazioni femminili per la ricostruzione,Politica,AOR,1981,F2,,,,si
AA. VV.,Donna e abuso sessuale,Politica,FrancoAngeli,1993,F2,,,,si
AA. VV.,Paura,Politica,Rivista,2022,F2,,,,si
AA. VV.,Maternità e imperialismo,Politica,Rivista,1978,F2,,,,si
Ben Mhenni Leena,Tunisian girl,Politica,Alegre,2011,F2,,,,si
Friedan Betty,La mistica della femminilità,Politica,Comunità,1972,F2,,,,si
Grisendi Adele,La famiglia rossa,Politica,Sperling & Kupfer,2003,F2,,,,si
Kupskaia Nadezda,La mia vita con Lenin (2 copie),Politica,Editori Riuniti,1956,F2,,,,si
Masera  Fulvia,La meta è il viaggio,Politica,Opuscolo,2006,F2,,,,si
Nachira Cinzia,Identità e conflitto,Politica,Shahrazad,?,F2,,,,si
Reed Evelyn,Sesso contro sesso o classe contro classe?,Politica,Samonà e Savelli,1973,F2,,,,si
Saraceno Chiara,Anatomia della famiglia,Politica,De Donato,1876,F2,,,,si
Ulianova Olga,Mio zio Lenin,Politica,Napoleone,1992,F2,,,,si
AA. VV.,Sebben che siamo donne,Politica,Alegre,2011,F3,,,,si
Laurenzi Laura ,Vita da ricchi,Politica,Rizzoli,1987,F3,,,,si
AA. VV.,XI Congresso del partito comunista italiano,Politica,Editori Riuniti,1966,PCI,,,,si
AA. VV.,XII Congresso del partito comunista italiano,Politica,Editori Riuniti,1969,PCI,,,,si
AA. VV.,XIII Congresso del partito comunista italiano,Politica,Editori Riuniti,1972,PCI,,,,si
AA. VV.,Enrico Berlinguer,Politica,L'Unità,1985,PCI,,,,si
AA. VV.,Rinascita 1944-1945,Politica,Editori Riuniti,1974,PCI,,,,si
AA. VV.,Almanacco PCI '79 (2 copie),Politica,PCI,1979,PCI,,,,si
AA. VV.,Almanacco PCI '81,Politica,PCI,1981,PCI,,,,si
AA. VV.,Sessanta anni nella storia,Politica,PCI,1981,PCI,,,,si
AA. VV.,Documenti politici dall'XI al XII congresso,Politica,PCI,1969,PCI,,,,si
AA. VV.,XII congresso del PCI. Progetto di tesi,Politica,PCI,1969,PCI,,,,si
AA. VV.,XII congresso del PCI. Rapporto di attività del C:C:,Politica,PCI,1969,PCI,,,,si
AA. VV.,XII congresso del PCI. Dati sulla organizzazione ,Politica,PCI,1969,PCI,,,,si
AA. VV.,Documenti politici dall'XII al XIII congresso,Politica,PCI,1972,PCI,,,,si
AA. VV.,PCI '71,Politica,PCI,1971,PCI,,,,si
AA. VV.,Fuori dal PCI…,Politica,Bertani,1978,PCI,,,,si
AA. VV.,Almanacco PCI '77,Politica,PCI,1977,PCI,,,,si
AA. VV.,Il PCI e il movimento operaio internazionale 1956-1968,Politica,Editori Riuniti,1968,PCI,,,,si
Amendola Berlinguer Colajanni Ingrao Reichlin,I comunisti e il Mezzogiorno,Politica,Editori Riuniti,1972,PCI,,,,si
Amendola Giorgio,Fascismo e mezzogiorno,Politica,Editori Riuniti,1973,PCI,,,,si
Amendola Giorgio,I comunisti e l'Europa,Politica,Editori Riuniti,1971,PCI,,,,si
Amendola Giorgio,Storia del PCI 1921-1943,Politica,Editori Riuniti,1978,PCI,,,,si
Barca Luciano,Cronache dall'interno del vertice del PCI,Politica,Rubbettino,2005,PCI,,,,si
Berlinguer Enrico,Unità del popolo per salvare l'Italia,Politica,Editori Riuniti,1975,PCI,,,,si
Berlinguer Enrico,La questione morale,Politica,Aliberti,2011,PCI,,,,si
Berlinguer Enrico,XIII Congresso PCI. Relazione e conclusioni al C.C.,Politica,PCI,1972,PCI,,,,si
Berlinguer Enrico,La questione comunista 1-2,Politica,Editori Riuniti,1975,PCI,,,,si
Di Giulio Fernando,L'impegno dei comunisti per lo sviluppo delle lotte,Politica,PCI,1971,PCI,,,,si
Gruppi-Modica,Il partito comunista italiano (1921-1955),Politica,Editori Riuniti,1955,PCI,,,,si
Longo Luigi,In'alternativa per uscire dalla crisi,Politica,Editori Riuniti,1969,PCI,,,,si
Longo Luigi,I centri dirigenti del PCI nella Resistenza,Politica,Editori Riuniti,1973,PCI,,,,si
Longo-Berlinguer,La politica comunista,Politica,Editori Riuniti,1969,PCI,,,,si
Longo-Berlinguer,La conferenza di Mosca,Politica,Editori Riuniti,1969,PCI,,,,si
Massari-Leonetti,All'opposixione nel PCI con Trotsky e Gramsci,Politica,Controcorrente,1977,PCI,,,,si
Modica Enzo,La repubblica delle autonomie,Politica,Editori Riuniti,1968,PCI,,,,si
Napolitano Giorgio,Proposta di progetto a medio termine,Politica,Editori Riuniti,1977,PCI,,,,si
Spriano Paolo,Storia del partito comunista italiano I-II-IV,Politica,Einaudi,1973,PCI,,,,si
Spriano Paolo,1946-1956 Le passioni di un decennio,Politica,L'Unità,1992,PCI,,,,si
Spriano Paolo,Storia del Partito comunista italiano 1-8,Politica,Einaudi,1975,PCI,,,,si
Spriano Paolo,Gramsci in carcere e il Partito,Politica,L'Unità,1988,PCI,,,,si
Togliatti Palmiro,L'opera di De Gasperi,Politica,Parenti,1958,PCI,,,,si
Togliatti Palmiro,Il partito. Scritti e discorsi,Politica,PCI,1973,PCI,,,,si
Togliatti Palmiro,Opere (5 volumi),Politica,Editori Riuniti,1979,PCI,,,,si
Togliatti Palmiro,Opere scelte,Politica,Editori Riuniti,1974,PCI,,,,si
Togliatti Palmiro,Opere I e III,Politica,Editori Riuniti,1967,PCI,,,,si
Togliatti Palmiro,Il PCI e la svolta del 1956,Politica,Rinascita,1986,PCI,,,,si
Togliatti Palmiro,La formazione del gruppo dirigente del PCI nel 1923-1924,Politica,Editori Riuniti,1969,PCI,,,,si
AA. VV.,"Politica ed economia 1-2, 5, 6",Politica,rivista,1975,E5,,,,si
AA. VV.,Un anno in Europa 77/78,Politica,Bulgarini,1978,E5,,,,si
AA. VV.,Un anno nel mondo 78/79,Politica,Bulgarini,1979,E5,,,,si
AA. VV.,KGB La lista che divide l'Italia,Politica,L'Espresso,1999,E5,,,,si
Ambrosini Giangiulio,La Costituzione spiegata a mia figlia,Politica,Einaudi,2004,E5,,,,si
Ferrara Mario,La costituzione italiana,Politica,ERI,1961,E5,,,,si
Fabietti Renato,La costituzione italiana,Politica,Mursia,1989,E5,,,,si
Colombini Alessandro,Strikers,Politica,Red Star,2018,E5,,,,si
AA. VV.,Per una sinistra alternativa,Politica,Alegre,2007,E5,,,,si
AA. VV.,Il dossier del catechismo olandese,Psicologia,Mondadori,1968,D2,,,,si
Berger-Ketterer,Perché limitarsi a sognare?,Psicologia,Feltrinelli,1999,F4,,,,si
Bianchi Enzo,Le vie della felicità,Psicologia,Rizzoli,2010,D2,,,,si
