autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
De Crescenzo Luciano,Il libro delle gaffes,Letteratura,Mondadori,1997,L,,,,si
De Santi Massimo,Mutazioni,Letteratura,L'autore,?,L,,,,si
De Santi Massimo,Cosmopoesie,Letteratura,Libroitaliano,2001,?,,,,si
Di Vita Giancarlo,Zialili,Letteratura,Cancelli,2003,L,,,,si
Diehl William,Pelle di sbirro,Letteratura,Mondadori,1982,L,,,,si
Eberhart Mignon,la casa segreta,Letteratura,Mondadori Gialli,1975,L,,,,si
Evangelisti Valerio,Il mistero dell'inquisitore Eymerich,Letteratura,Mondadori,1997,L,,,,si
Evangelisti Valerio,Il collare di fuoco,Letteratura,Mondadori,2007,L,,,,si
Faletti Giorgio,Io uccido,Letteratura,Baldini&Castoldi,2006,L,,,,si
Fantazzini Horst,Lo statuto dei gabbiani,Letteratura,Milieu,2012,L,,,,si
Follett Ken,Il volo del calabrone,Letteratura,Mondadori,2012,L,,,,si
Follett Ken,Il codice Rebecca,Letteratura,Selezione,1983,L,,,,si
Frontera Claudio,In poche parole,Letteratura,Bandecchi,?,?,,,,si
Gibson William,La tela del ragno,Letteratura,Longanesi,1966,L,,,,si
Green John,Città di carta,Letteratura,Rizzoli,2014,L,,,,si
Green John,Colpa delle stelle,Letteratura,Rizzoli,2012,L,,,,si
Guerra-Malerba,Storie dell'anno Mille,Letteratura,Fabbri,1992,L,,,,si
Guild Nicholas,Ninive,Letteratura,Rizzoli,1994,L,,,,si
Gustarelli Andrea,Autori nostri,Letteratura,Trevisini,1924,L,,,,si
Hadley Chase James,Patto di morte,Letteratura,Mondadori Gialli,1968,L,,,,si
Hancock Graham,L'enigma di Marte,Letteratura,Corbaccio,1990,L,,,,si
Harris Robert,Enigma,Letteratura,Mondadori,1996,L,,,,si
Harris Thomas ,Hannibal,Letteratura,Mondadori,1999,L,,,,si
Heinlein  Robert,Racconti,Letteratura,Mondadori,1995,L,,,,si
Horan James,Uomini disperati,Letteratura,Longanesi,1966,L,,,,si
Jerome K.,Tre uomini in barca,Letteratura,La spiga,2001,L,,,,si
Lello Roberto,Proposte,Letteratura,Thule,1985,L,,,,si
Lucarelli-Picozzi,Scena del crimine,Letteratura,Mondadori,2006,L,,,,si
Luschi Corrado,I nostri ieri,Letteratura,Nuova Fortezza,1983,L,,,,si
Manfredi Valerio Massimo,L'ultima legione,Letteratura,Mondadori,2002,L,,,,si
Marchesi Marcello,Diario futile di un signore di mezza età,Letteratura,Rizzoli,1963,L,,,,si
Morosi Ezio,Nel silenzio della sera,Letteratura,Borla,1995,L,,,,si
Noone John,L'uomo con l'uovo di cioccolata,Letteratura,Mondadori,1967,L,,,,si
Ongaro Alberto,La partita,Letteratura,TEA DUE,1989,L,,,,si
Orlandi-Benigni,"Pia de' Tolomei,",Letteratura,Debatte,1996,?,,,,si
Ovidio e Tibullo,Carmi scelti,Letteratura,Bemporad,1931,?,,,,si
Pierucci Gianclaudio,Growlers,Letteratura,Pierucci,2013,?,,,,si
Pini Gabriel,Goya enterprises,Letteratura,PSE,2015,L,,,,si
Pinotti Roberto,Dei dello spazio,Letteratura,Mondadori,2004,L,,,,si
Pozzi Luciano,L'intramontabile crepuscolo,Letteratura,Belfiore,1995,?,,,,si
Prather Richard S.,Il gemello scomparso,Letteratura,Longanesi,1988,L,,,,si
Robb Candace,La morte nera,Letteratura,Piemme,2004,L,,,,si
Robinson Henry M.,Il cardinale,Letteratura,Garzanti,1963,L,,,,si
Ruark ,Qualcosa che vale,Letteratura,Bompiani,1957,?,,,,si
Sabelli Fioretti Claudio,Dimmi dammi fammi,Letteratura,Aliberti,2009,L,,,,si
Sepulveda Luis,Storia di una gabbianella e del gatto che le insegnò a volare,Letteratura,Salani,1996,L,,,,si
Spada Dario,Guida ai fantasmi d'Italia,Letteratura,Armenia,2000,L,,,,si
Spensieri Emilio,Cumme fusse allora…,Letteratura,BP Molise,1973,L,,,,si
Spinrad Norman,Astronavi nell'abisso,Letteratura,Mondadori Urania,2002,L,,,,si
Stoppacciaro Edoardo,Mondo in fiamme,Letteratura,Lacorte,2016,L,,,,si
Thompson Jim,Nulla più di un omicidio,Letteratura,Fanucci,2005,L,,,,si
